"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"blank_rules","RULES","RULES","ŘÁD","GESCHÄFTSREGELN","ПРАВИЛА","Zasady","Szabályok","REGOLA","REGLAS","RÈGLES","规则","ルール","Regras","规则",
"blank_shop","SHOP","SHOP","OBCHOD","GESCHÄFT","МАГАЗИН","Sklep","Üzlet","NEGOZIO","TIENDA","BOUTIQUE","商店","ショップ","Loja","商店",
"blank_discord","DISCORD Channel","DISCORD Channel","Diskord kanál","DISCORD-Kanal","ДИСКОРД Канал","Discord Channel","DISCORD csatorna","Discord canale","DISCORD Canal","DISCORD Channel","不和谐频道","DISCORDチャンネル","Discord Canal","不和谐频道",
"blank_exittime","EXIT VIA","EXIT VIA","VÝSTUP PŘES","AUSGANG DURCH","ВЫХОД ЧЕРЕЗ","WYJŚCIE PRZEZ","KILÉPÉS KERESZTÜL","USCITA VIA","SALIDA VÍA","SORTIE VIA","经出口","経由で終了","SAÍDA ATRAVÉS","经出口",
"blank_exit","EXIT","EXIT","","Ausgang","ВЫХОД","WYJŚCIE","","","SALIDA","SORTIE","出口；出口","出口","SAÍDA","出口；出口",
"blank_excancel","CANCEL","CANCEL","ZRUŠIT","STORNIEREN","ОТМЕНА","Anuluj","Mégse","ANNULLARE","CANCELAR","ANNULER","取消","キャンセル","Cancelar","取消",
"blank_donat","To support the project (Donation)","To support the project (Donation)","Podpora projektu (Donat)","Unterstützen Sie das Projekt (Donat)","Поддержать проект (Донат)","Wspieraj projekt (Donat)","A projekt támogatása (adomány)","Sostenere il progetto (Donat)","Apoyar el proyecto (Donat)","Soutenir le projet (Donat)","支持这项计划(捐款)","プロジェクトを支援するために（寄付）","Apoiar o projeto (Donat)","支持这项计划(捐款)",
"blank_rulhead1","Relationships","Relationships","Vztahy","Beziehungen","Взаимоотношения","Stosunki wzajemne","Kapcsolatok","Relazioni","Relación","Relation","关系","リレーションシップ","Relações","关系",
"blank_rulheadtext1","1.1) Insulting players, insulting relatives, harsh insults, abuse of insults are PROHIBITED;<br/>1.2) Insulting or disrespectful attitude towards the administration is PROHIBITED;<br/>1.3) Incitement of ethnic hatred is PROHIBITED;<br/>1.4) Advertising of other projects and servers in any form is PROHIBITED.","1.1) Insulting players, insulting relatives, harsh insults, abuse of insults are PROHIBITED;<br/>1.2) Insulting or disrespectful attitude towards the administration is PROHIBITED;<br/>1.3) Incitement of ethnic hatred is PROHIBITED;<br/>1.4) Advertising of other projects and servers in any form is PROHIBITED.","1.1) je zakázáno urážet hráče, urážet příbuzné, tvrdé urážky, zneužívání urážek;<br/>1.2) je zakázáno urážlivé nebo neuctivé zacházení s administrativou;<br/>1.3) je zakázáno podněcování nadnárodních společností;<br/>1.4) reklama na jiné projekty a servery je zakázána v jakékoli podobě.","1.1) Es ist verboten, Spieler zu beleidigen, Verwandte zu beleidigen, zu beleidigen, zu missbrauchen;<br/>1.2) Es ist verboten, die Verwaltung zu beleidigen oder respektlos zu behandeln;<br/>1.3) ES ist verboten, internationale Streitigkeiten zu schüren;<br/>1.4) Werbung für andere Projekte und Server ist in irgendeiner Form verboten.","1.1) ЗАПРЕЩЕНО оскорбление игроков, оскорбление родственников, жесткие оскорбления, злоупотребление оскорблениями;<br/>1.2) ЗАПРЕЩЕНО оскорбительное или неуважительное отношение к администрации;<br/>1.3) ЗАПРЕЩЕНО разжигание межнациональной розни;<br/>1.4) ЗАПРЕЩЕНА реклама других проектов и серверов в любом виде.","1.1) zabronione jest obrażanie graczy, obrażanie krewnych, ostre obelgi, nadużywanie obelg;<br/>1.2) zabronione jest obraźliwe lub lekceważące traktowanie administracji;<br/>1.3) zabronione jest podżeganie do konfliktów etnicznych;<br/>1.4) zabronione jest reklamowanie innych projektów i serwerów w jakiejkolwiek formie.","1.1) A játékosok sértése, rokonok sértése, durva sértések, sértésekkel való visszaélés tilos;<br/>1.2) az adminisztrációval szembeni sértő vagy tiszteletlen hozzáállás tilos;<br/>1.3) az etnikai gyűlölet felbujtása tilos; < br/>1.4) más projektek és szerverek bármilyen formában történő reklámozása tilos.","1.1) è vietato insultare i giocatori, insultare i parenti, insulti duri, abuso di insulti; < br/>1.2) è vietato l'atteggiamento offensivo o irrispettoso nei confronti dell'amministrazione;<br/>1.3) è vietato incitare conflitti etnici;<br / > 1.4) è vietata la pubblicità di altri progetti e server in qualsiasi forma.","1.1) está PROHIBIDO insultar a los jugadores, insultar a los familiares, insultar duro, abusar de los insultos;<br/>1.2) está PROHIBIDO insultar o irrespetar a la administración;<br/>1.3) está PROHIBIDO incitar a la discordia interétnica;<br/>1.4) está PROHIBIDO anunciar otros proyectos y servidores en cualquier forma.","1.1) il est INTERDIT d'insulter les joueurs, d'insulter les parents, d'insulter sévèrement, d'abuser des insultes; < br/>1.2) il est INTERDIT d'insulter ou d'irrespecter l'administration;<br/>1.3) il est INTERDIT d'inciter à la discorde interethnique;<br / > 1.4) il est INTERDIT de faire de la publicité pour d'autres projets et serveurs sous quelque forme que ce soit.","1.1）禁止侮辱玩家、侮辱亲属、恶劣侮辱、辱骂；<br/>1.2）禁止侮辱或不尊重政府的态度；<br/>1.3）禁止煽动民族仇恨；<br/>1.4）禁止以任何形式宣传其他项目和服务器。","1.1）侮辱的なプレイヤー、侮辱的な親戚、過酷な侮辱、侮辱の乱用は禁止されています。<br/>1.2）行政に対する侮辱または無礼な態度は禁止されています。<br/>1.3）民族的憎悪の扇動は禁止されています。<br/>1.4）他のプロジェクトやサーバーの広告はいかなる形でも禁止されています。","1.1) é proibido insultar jogadores, insultar parentes, insultos duros, abuso de insultos;<br/>1.2) é proibido insultar ou desrespeitar a administração;<br/>1.3) é proibido incitar discórdia étnica; < br/>1.4) é proibida a publicidade de outros projetos e servidores de qualquer forma.","1.1）禁止侮辱玩家、侮辱亲属、恶劣侮辱、辱骂；<br/>1.2）禁止侮辱或不尊重政府的态度；<br/>1.3）禁止煽动民族仇恨；<br/>1.4）禁止以任何形式宣传其他项目和服务器。",
"blank_rulhead2","Violations that give an advantage","Violations that give an advantage","Přestupky, které dávají přednost","Verstöße, die einen Vorteil verschaffen","Нарушения, дающие преимущество","Naruszenia dające przewagę","Olyan jogsértések, amelyek előnyt jelentenek","Violazioni che danno un vantaggio","Infracciones que dan ventaja","Violations donnant un avantage","占优势的违规行为","利点を与える違反","Infrações que dão vantagem","占优势的违规行为",
